Nome,Titulo,Texto,Data,Review
Camila,Kindle 10 geração luz embutida bateria não presta,"A bateria do meu Kindle não dura nem 3 dias. Não sei o que está acontecendo, já que o prometido era semanas. E digo isso levando em consideração que eu não utilizo nem 2 horas por dia",Avaliado no Brasil em 8 de maio de 2019,"1,0 de 5 estrelas"
Ana Maria (@anamariaproff),Ótima aquisição/Ótima loja,"AMEI. O aparelho é leve, cabe perfeitamente na mão. A luz é muitoooo parecida com a do Paperwhite, me impressionou. A tela, com essa tecnologia, não cansa em nada. Em suma, até o momento foi uma compra muito boa. Tenho vários livros e nada parece encher esse aparelho. Possui um ""navegador experimental"" que você pode acessar o Google ou outras páginas, podendo baixar ebooks grátis através de sites.P.s eu tinha comprado o 8a geração, mas devolvi para comprar esse lançamento. Preciso pontuar o ótimo atendimento dessa loja. Parabéns! Além de uma entrega muito rápida, muito embora eu more no interior de Pernambuco.P.s foto do aparelho com a luz dele no escuro, sem a luz dele no escuro e sem luz no ambiente claro",Avaliado no Brasil em 3 de maio de 2019,"5,0 de 5 estrelas"
Amanda Santos,Uma nova experiência,"Esse kindle é meu primeiro contato com um e-reader, então é uma experiência nova... ainda estou me acostumando.Mas a facilidade de adquirir os livros, à busca e comodidade, já estão contando como ponto positivo.",Avaliado no Brasil em 11 de maio de 2019,"5,0 de 5 estrelas"
Bruno Leandro de Macedo,Produto aprovado,"O novo Kindle chegou com 44% de carga e após as configurações iniciais e ter baixado 4 livros da nuvem, a bateria baixou apenas 1%. Após cerca de 10 minutos conectado à internet, já foi baixada uma atualização de software.Comparando os kindles de 8ª. e 10ª. Geração, fica perceptível o peso a mais do modelo mais recente, mas, nada que venha a atrapalhar o uso, uma vez que após alguns minutos com ele nas mãos você se acostuma fácil. Aliado a isso, está o fato de, a construção passar mais solidez, sem a sensação de “oco” que acontecia no kindle de 8ª Geração quando batíamos com a unha na traseira.No que diz respeito à tela, achei a tela do modelo mais velho mais confortável para ler apenas com a iluminação externa, mas essa diferença facilmente se esvai quando ligamos os leds do novo Kindle. Um detalhe que não pode passar despercebido, é que a resolução baixa da tela fica mais evidente no Kindle de 10a. Geração, principalmente com a iluminação ligada, porém, mais uma vez, não é algo que atrapalha a experiencia de uso.O design do novo Kindle é mais moderno e traz um pouco mais de conforto ao segurá-lo nas mãos, visto que suas bordas são, na parte traseira, um pouco menores e mais abauladas. Outra coisa perceptível é a diminuição da protuberância do botão de ligar e desligar, o que dificulta esbarrar nele e desligar a tela sem esta intenção. Merece destaque ainda, o fato de a depressão entre a carcaça e a tela estar menor, o que diminui a sensação de acúmulo de poeira.Percebi uma lentidão quando comparado ao Kindle de 8ª. Geração. Essa lentidão é mais notável quando você “desperta” o Kindle da tela de descanso.Temos ainda o fato de o sistema do modelo mais novo ocupar mais espaço e os seus arquivos também fazem o mesmo. No novo Kindle Eu baixei apenas 5 livros da nuvem, pois são dois livros que estou lendo no momento, duas amostras e mais um que será a minha próxima leitura. Esses cinco livros mais o manual e o dicionário, ocuparam 247 MB, enquanto no meu Kindle anterior, tenho mais 3 páginas de livros baixados e lá espaço ocupado é de 62 MB.Logo que a compra foi concluída recebi o e-mail da Amazon contendo o link para a ativação dos 3 meses gratuítos do serviço Kindle Unlimited, sendo que ativei no mesmo dia....Após sete dias de uso intenso (de uma a duas horas/dia, mais configurações, procura de livros na loja kindle e resolução de alguns problemas com o SAC), vi que a bateria está se revelando satisfatória. Além dos 44% da carga inicial (dos quais foram usados 34% antes da recarga), gastou 30% de sábado até hoje, quarta-feira, lendo com luminosidade no nível 10, seja de dia ou a noite, e com Wi-Fi desligado, sendo este ligado somente quando necessário para navegação e configuração. Nesse ritmo ficarei maios ou menos duas semanas com a carga. Pode parecer pouco frente às seis semanas prometidas, mas se torna muito boa quando comparado ao uso que empreguei nele.A minha única reclamação se deve ao fato que aconteceu a dois dias, quando meu kindle foi desvinculado de minha conta quando a transportadora informou à Amazon que o meu pedido tinha sido extraviado. Mas o problema foi resolvido de forma rápida pelo Chat que a Amazon disponibiliza no SAC.Após essa semana de uso, posso dizer que o aumento de R$ 50,00 no valor final da versão básica valeu a pena, pois trouxe uma grande vantagem para o produto de entrada que são os leds. Ainda acho que o valor é salgado, mas é um produto que dura anos e o software é atualizado constantemente, além de os modelos não “saírem de linha” todo ano. Infelizmente é o preço Brasil que deixa o produto caro, mas ainda sim vale a pena para que gosta de ler.",Avaliado no Brasil em 15 de maio de 2019,"5,0 de 5 estrelas"
E. Edwards,Vou devolver - a bateria veio com defeito,"A principal razão por que comprei este Kindle (eu tenho um Fire e um outro, muito antigo) foi a promessa de que sua bateria dura ""semanas"". Não é verdade - ou o meu veio com defeito. Carrego a bateria em 100%, desligo o wi-fi, desligo a tela do aparelho, guardo e... dois dias depois, quando abro o Kindle, a bateria está abaixo da metade.Vou devolver e em seguida comprar outro, para ver se desta vez vem sem esse defeito.",Avaliado no Brasil em 3 de setembro de 2019,"1,0 de 5 estrelas"
Cleto Fittipaldi,Decepcionante!,"Acabei de comprá-lo, estava muito empolgado e descubro que o produto tem 2,75 e não 4 gb de memória! Propaganda enganosa!! - 30% de espaço do que o informado!!!E saibam que não vem com carregador!!Tentem colocar o cabo usb direto na tomada!! Ai você tem que comprar um carregador de 80 reais na loja da amazon!Muito decepcionado!",Avaliado no Brasil em 4 de junho de 2019,"1,0 de 5 estrelas"
Beatriz Almeida,A iluminação é excelente e faz toda a diferença!,"Amei esse kindle! Já tinha o outro, mais básico, mas a iluminação faz toda a diferença por causa da variação de luz dos ambientes externos.É um produto que vale cada centavo! Estimula demais a leitura, é prático e super leve pra levar pra qualquer lugar.",Avaliado no Brasil em 5 de maio de 2019,"5,0 de 5 estrelas"
Bia,CHEGOU FINALMENTE!,SUPEROU AS EXPECTATIVAS E JÁ ESTOU USANDO O UNLIMITED <3,Avaliado no Brasil em 8 de maio de 2019,"5,0 de 5 estrelas"
Maria,Compraria novamente,"Amei demais. Superou expectativas. Eu sou uma pessoa que não lia um livro todo a uns 6 anos, agora to me vendo gostar de ler novamente...",Avaliado no Brasil em 18 de novembro de 2020,"5,0 de 5 estrelas"
Ruud Alves,Bom ?,Kindle é bom mas não sei.... Ele continua descarregando rápido mesmo com a internet desligada e brilho no 7 em questão de 10m já está em 85%,Avaliado no Brasil em 13 de junho de 2019,"3,0 de 5 estrelas"
Daniel Berti,Uma porcaria!,"Eu particularmente odiei, detestei o produto, eu ja tinha um iPad Pro e um Mini iPad, e resolvi comprar o Kindle, que erro que eu cometi!!! O processador dele é extremamente lento, existe um delay para os comandos em touch, uma porcaria! Arrependido!!!",Avaliado no Brasil em 29 de junho de 2019,"1,0 de 5 estrelas"
George Menezes,APARELHO DEFEITUOSO,"Fiquei super chateado com a minha compra. Meu aparelho, com menos de uma semana de uso, trava com os livros que mais queria ler, além da bateria ter vindo com defeito.Entrei em contato e não vou poder devolver e receber outro aparelho. Foi oferecido receber 20% do valor que paguei e ficar com um produto defeituoso, que não atende as minhas expectativas, ou devolver e ser reembolsado (em crédito) para comprar outro aparelho, porém vou ter que ter um custo bem maior do que gastei no primeiro aparelho, já que comprei um preço promocional.Simplesmente, um absurdo. Tudo isso na minha primeira experiência de compra com a Amazon. Eles poderiam muito bem receber o aparelho defeituoso e enviar um novo, já que tem menos de uma semana de compra ou, além de receber o ressarcimento, gerar um cupom de desconto para que eu consiga comprar um aparelho novo sem ter que gastar a mais, pagando pelo mesmo preço do que comprei.FIQUEI SUPER CHATEADO. NÃO INDICO. PÉSSIMA EXPERIÊNCIA.",Avaliado no Brasil em 11 de dezembro de 2019,"1,0 de 5 estrelas"
JULLYANE MOREIRA,CORRESPONDE AS EXPECTATIVAS,"Demorei a me decidir fazer está compra pois sempre fui amante de livros físicos, estou com o produto a 5 dias, e estou completamente apaixonada, já fui uma leitora muito assídua a alguns anos atrás, mas com questões de faculdade e trabalho acabei por me desligar um pouco da leitura, sem falar na dificuldade de ficar carregando livros o dia todo. A praticidade do kindle é estarrecedora, e eu estou tão fissurada em ler outra vez, tanto quanto antes, pois consigo carregá-lo para todos os lados, e a cada 15 minutos de tempo livre que tenho estou com ele nas mãos. O que mais me preocupava em relação a compra, além do fato de não me adaptar com livros digitais, era a vista cansada, pois tenho um grau muito alto, astigmatismo e fotofobia, sempre utilizo meus aparelhos eletrônicos com o brilho no mínimo devido a esta dificuldade. Contudo o kindle superou todas as minhas expectativas, sem agredir meus olhos.Estou muito feliz com o produto, é muito bom e super recomendo!!! ;D",Avaliado no Brasil em 19 de novembro de 2020,"5,0 de 5 estrelas"
Marcos Humberto,"Muito bom, mas veio com defeito","Sobre o equipamento e sua funcionalidade sem palavras, apresenta uma leitura suave e confortável. Mas para mim não foi um mar de rosas. O equipamento veio com defeito, uma listra bem no meio da tela (foto). Entrei em contato para saber o procedimento mas eu teria que enviar o aparelho, aguardar a análise e posteriormente a isso eles liberam um crédito para que eu possa comprar um novo aparelho. Senti falta de um forma mais rápida de resolver, afinal se vc comprou é pq deseja o aparelho. Confesso que me decepcionei bastante, já que compramos para receber em casa para ter comodidade e eu acabei tendo dor de cabeça já que o não tenho disponibilidade para levar o equipamento no correio e terei que ficar com ele assim mesmo.",Avaliado no Brasil em 8 de novembro de 2019,"1,0 de 5 estrelas"
Roberta F.,"Produto OK, mas e os  3 meses de Kindle Unlimited grátis?","Eu gostei muito do kindle, muito mesmo! Mas mesmo tendo recebido o produto no dia seguinte da compra (pq eu paguei a taxa de entrega prioritária) até o momento não recebi o link para cadastrar os 3 meses de Kindle Unlimited grátis. Já liguei várias vezes e apenas pedem para eu aguardar 72 horas. Se eu ganhei 3 meses grátis, pq essa dificuldade toda para enviarem o link? Seria uma propaganda enganosa?",Avaliado no Brasil em 3 de maio de 2019,"3,0 de 5 estrelas"
Vivian,CAPA PARA ESTE MODELO.,"Procuro com certa urgencia capa que seja compativel com este modelo.  Kindle 10 geração, lançamento 2019. Não é a prova d'agua.",Avaliado no Brasil em 1 de maio de 2019,"5,0 de 5 estrelas"
Júlia,Sem arrependimentos,"Fazia já mais de um ano que estava namorando esse Kindle, sempre nas minhas férias sinto falta de ler quando vou viajar e meus livros ficam em casa.Devo dizer que meu ritmo de leitura aumentou muito mais até mesmo depois que as férias acabaram! O Kindle é bem mais confortável de segurar que um livro físico: mesmo com minha mão diminuta consigo segurar ele inteiro. Você tem uma biblioteca inteira que dá para levar em qualquer lugar. Esperar a consulta no SUS nunca foi tão divertido. A bateria dura SEMANAS. Ler uma palavra que não conheço e ficar pensando sobre isso até o resto do capítulo? Nunca mais, porque ele tem um dicionário embutido.Também fiquei curiosa se conseguiria ler quadrinhos e mangás. Ele dá zoom nos quadrinhos individualmente então funciona super bem! Mas fica aí minha sugestão... @Amazon, tá na hora de liberar um e-reader colorido para a gente, que tal?Você também consegue passar pdfs para o Kindle, mas, infelizmente, se você é de exatas como eu, saiba que as fórmulas vão ficar todas bagunçadas e ilegíveis.O tamanho da letra, espaçamento entre linhas, fonte, luz, etc são todos personalizáveis, então você pode até ler O Senhor dos Anéis inteiro em Comic Sans, se quiser cometer esse crime.A tela reflete bem menos que a de um celular, mas isso que disseram de ser igual a um papel é mentira. Ainda assim não tenho o que reclamar! Bem menos cansativo de olhar que a tela de um notebook ou tablet.  (Foto comparando a luz no mínimo em ambos os equipamentos - O Kindle não emite luz)Ah, evite de carregar na tomada com carregador de celular, disseram que estraga a bateria e só fiquei sabendo disso depois.",Avaliado no Brasil em 21 de setembro de 2021,"5,0 de 5 estrelas"
Cliente Amazon,KIndle 10ª Geração.,"Como esperado, o novo Kindle é perfeito. Mais fino e mais leve que o anterior. Mas o que mais gostei é que a capa que eu usava no anterior serviu perfeitamente nele. Economizei um dinheiro.",Avaliado no Brasil em 3 de maio de 2019,"5,0 de 5 estrelas"
Andreza,Impressionante,"Que compra foi essa? Sempre tive preconceito com livros digitais, sempre deu preferência pra livros físicos mas acabei comprando o novo Kindle e olha a experiência está sendo sensacional, a entrega foi super rápida, embalagem bem feita toda protegida, instalação, manuseio do aparelho tudo simples e fácil, transferência de Arquivos do computador para o aparelho é rápido e sem frescuras, o arquivo abre perfeitamente, a leitura no aparelho é sensacional, não cansa os olhos, super leve, toutch funciona perfeitamente, iluminação é ótima, ler no escuro quando perde o sono na madrugada é perfeito, não cansa de forma alguma, minha primeira compra na amazon e achei tudo perfeito, estou amando o aparelho e não largo dele nem em sonho rs, a bateria dura semanas e carrega em apenas algumas horas, parabéns para Amazon, estou satisfeita com tudo, só estou aguardando lançar capinhas para ele ☹️ Acredito que seja necessário para preservar de arranhões ou coisas do tipo, mas de qualquer forma estou apaixonada pelo meu KINDLE, SUPER RECOMENDO, ADQUIRAM E NAO VÃO SE ARREPENDER 😍❤️",Avaliado no Brasil em 16 de maio de 2019,"5,0 de 5 estrelas"
Manuh Costa,Muito Decepcionada com a Resolução e Espaço interno do produto,"Primeiro Kindle que eu comprei na vida e é uma total decepção, a resolução dos gráficos é péssima, a memória não é de 4 e sim de 2,79 no meu, o produto veio em excelente estado físico designe lindo, mas o meu está com desempenho bem ruim nesse sentido, as figuras dos gráficos parecem ruins demais, não gostei Amazon, propaganda enganosa!",Avaliado no Brasil em 24 de julho de 2019,"1,0 de 5 estrelas"
Milu Tardelli,Avaliação temporária,"Eu sempre gostei de ler, desde criança, sempre amei meus livros mas confesso que sou possessiva em relação a eles, não consigo emprestá-los, doá-los nem pensar.Meus livros descansam nas estantes de casa, onde posso vê-los e relembrar o momento que vivi com cada um.As vezes abro-os e acaricio suas páginas.Porém, infelizmente sinto que os livros estão possuindo minha casa, eles são inúmeros.Resisti muito a ideia de um Kindle, apesar de achá-lo bastante interessante.Eu tenho todo um ritual com meus livros, preciso tocá-los, manuseá-los, cheirá-los, abraçá-los, cada um é uma história de amor que se inicia.Daí a minha resistência ao Kindle, perderia todas estas sensações.Porém tenho que admitir que há um desconforto em levar livros em minhas viagens, principalmente as aéreas.Eu não consigo viajar sem livros, é uma peça essencial na minha mala.Assim comecei a amadurecer a ideia de um Kindle, pelo menos para as viagens e finalmente decidi comprá-lo em novembro último.Não posso dizer que me apaixonei e nem que não gostei, está sendo como um romance, flertamos durante um bom tempo e agora começamos a nos conhecer.Neste início observei que a bateria não dura tanto como foi mencionado no texto explicativo de venda, cerca de 45 dias, no meu ela dura bem menos.Não sei se ainda não consegui configurá-lo corretamente, como disse, estamos no início de um relacionamento.Quando conhecer melhor meu Kindle, sua funcionalidade, voltarei aos comentários para contar como estamos nos dando e se ele atendeu minhas expectativas.",Avaliado no Brasil em 16 de janeiro de 2020,"4,0 de 5 estrelas"
Igor,Kindle 10a Geração,"Fiz a transição do Kindle Básico de 9a Geração para esse e a iluminação sem dúvidas quebra um galho enorme, fazendo diferença até em ambientes onde há luz.- Apesar de serem somente quatro LEDs, não vi problemas quanto a distribuição da luz pela tela;- A iluminação em seu nível médio já é suficiente para ler em ambientes totalmente escuros (em minha opinião);- A tela, apesar de inferior ao Paperwhite, não traz diferenças significativas para a leitura de EBOOKS;- A bateria é ótima, eu, que leio geralmente mais de meia hora ao dia, consigo uma duração superior a duas semanas.Sem falar na comodidade de ter centenas de ebooks com você e uma tela que não cansa os olhos.Apesar disso tudo, gostaria de acrescentar uma reclamação que é mais referente ao meu modelo em específico, ele veio com um problema na tela, onde aproximadamente 1 em cada 7 toques meus não são registrados, principalmente toques mais fracos (coisa que não acontecia no meu modelo anterior, que era bastante sensível). Não é nada que atrapalhe muito a experiência, mas não deixa de ser incômodo, visto que usarei este aparelho por anos...",Avaliado no Brasil em 20 de agosto de 2019,"3,0 de 5 estrelas"
Vera Lúcia Figueiredo Barbosa,PRODUTO PERFEITO E ÓTIMO SERVIÇO,"Boa noite! Fiquei muito satisfeita com a compra do Kindle 10ª geração, com luz embutida. Achei prático, de fácil manuseio, com opções maravilhosas para tornar a leitura mais agradável e menos cansativa para os olhos. Excelente custo-benefício. Eu havia adquirido um KIndle 8ª geração, há pouco mais de um mês. Gostei tanto que queria um que me permitisse ler no escuro. Então comprei o recém-lançado e o anterior foi dado à minha sobrinha. O atendimento foi correto, dentro do prazo estipulado e com o produto em perfeitas condições. A Amazon sempre me atendeu  com atenção, respeito, eficiência e rapidez, inclusive quando precisei acessar o SAC para tirar uma dúvida. Só gostaria agora de encontrar acessórios compatíveis com o dispositivo que comprei. Ao que me parece, as capas e películas oferecidas até o momento servem para o 8ª geração, mas não para o 10ª , já que há pequena diferença  na dimensão de ambos. Posso resumir minha compra numa palavra: satisfação.",Avaliado no Brasil em 3 de maio de 2019,"5,0 de 5 estrelas"
Daniele Freire,Excelente aparelho e custo-benefício,"Este é meu primeiro Kindle e nunca sequer havia pego em minhas mãos um e-reader.Há um tempo pensava em adquirir um Kindle, porém não queria investir muito na compra, por outro lado também considerava indispensável que o aparelho tivesse iluminação, por isso não adquiri um equipamento de 8a geração. Sendo assim, fui postergando a compra.Fiquei muito feliz quando vi os anúncios de lançamento do Kindle de 10a geração e esperei até ter uma promoção para, finalmente, comprar o meu. Não me arrependi. Gostei muito do aparelho. A resolução da tela (que pode assustar muitos que somente leiam as especificações técnicas comparadas entre os modelos à venda), é muito satisfatória e não compromete a qualidade de leitura. A iluminação é perfeita. Sobre a bateria, aparentemente ela não deve durar o prometido e estimo que irá acabar em cerca de uma semana e meia, mesmo deixando no modo avião (estou há uma semana com o aparelho, carreguei só no primeiro dia e agora ele está com 38% de bateria), pelo menos nesses primeiros dias de uso, mas mesmo assim é uma duração muito favorável.Minhas críticas são apenas quanto aos preços das capas/cases (absurdamente e desproporcionalmente caras) e também de muitos e-books, cujos valores se equiparam ou as vezes superam os exemplares físicos, mesmo com a grande diferença de despesas de produção. O jeito é ficar de olho nas promoções.Enfim, quem está com vontade de comprar um kindle, mas não está podendo/querendo investir num paperwhite ou num oasis, pode adquirir sem medo um de 10a geração.Obs.: o armazenamento anunciado do dispositivo, assim como no dos celulares, não corresponde ao espaço livre, mas os arquivos mobi são leves e ainda há a possibilidade de guarda-los na nuvem sem prejuízo.",Avaliado no Brasil em 24 de junho de 2019,"5,0 de 5 estrelas"
Julio Mauro,Espetáculo,"Saí de um PPW de primeira geração para essa nova. Espetáculo como sempre, uma pena não ter o Goodreads na conta BR",Avaliado no Brasil em 30 de abril de 2019,"5,0 de 5 estrelas"
Rodrigo Seixas Pereira Barbosa,Bom produto!,"Após alguns teses de bateria (sob suspeita de estar descarregando rápido), atualização, percebi que o e-reader realmente obedece ao padrão divulgado pela Amazon (duração de 2 semanas com uso moderado diário - 30m/dia, com wi-fi desligado e com luminosidade 10). A média é de um gasto de 7% de bateria por dia, o que eu, sinceramente, achei muito, em se tratando dos poucos recursos que um Kindle tem. Mas, no geral, trata-se de um ótimo produto que garante uma excelente experiência de leitura. Na minha opinião, e na minha realidade (sou professor acadêmico), não substitui o livro físico, mas, com certeza, é mais uma possibilidade de leitura para enriquecer nossa experiência com a cultura e com o conhecimento.",Avaliado no Brasil em 16 de junho de 2019,"3,0 de 5 estrelas"
Eduardo Oliveira,— MELHOR INVESTIMENTO POSSÍVEL —,"Recentemente consegui me recuperar de uma ressaca literária, naturalmente retornei a ler mais.Comecei a comprar muitos livros — que ultrapassava grandes valores — e minha estante foi ficando cada vez maior. Embora estivesse com muito anseio por um E-reader, não o adquirir por não saber se era um bom investimento. Claramente, estava enganado.Adquiri o Kindle (8gb, luz embultida, branco) e comecei a usá-lo.O aparelho é sensacional: tem um design muito agradável, uma leveza descomunal, uma sensibilidade fantástica e um conforto muito grande. A bateria dura muito tempo quando não é consumida por Wifi e a luz é muito viável quando está escuro, mas ainda é meio opaca. Por isso, dou sempre preferência a deixa a luz completamente desligada e ir num ambiente luminoso, mas a noite, sempre deixo a luz levemente baixa, o que não incomoda nem um pouco.A leitura no Kindle é uma das melhores coisas ao leitor. Pra mim, o ponto mais forte é a edição do layout, que permite mudar o espaçamento, fonte, posição e outros e, o acesso ao dicionário — contando claramente com a Wikipédia e Tradutor quando conectado a internet.Outro ponto forte da leitura é notas e destaque o que me deixou MUITO satisfeito, principalmente quando a obra contém uma certa erudição e palavras rebruscadas, o que permite não só a definição dela, mas também notas e frases nas palavras, sem contar nos flashcards, uma parte separada que nos ajuda a memorizar a definição das palavras que procuramos durante a leitura.O Kindle Unlimited, uma assinatura de livros é muito útil também, principalmente por contér muitas obras conhecidas.Outras características que vale ressaltar é a presença de um navegador experimental, um grande espaço de memória, senha do dispositivo e talkback.Dito isto, se está em dúvida sobre a comprar no Kindle, não a tenha e experimente esse dispositivo MARAVILHOSO.",Avaliado no Brasil em 23 de novembro de 2020,"5,0 de 5 estrelas"
